seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
11,6,0.3868,0.4545,0.8333,0.5882,0.8915,4554.7245,3205.8153
2,6,0.0511,0.0667,0.1667,0.0952,0.5245,5878.8507,3810.9734
0,6,0.1177,0.1875,0.5000,0.2727,0.6954,6182.8964,4108.2917
5,6,0.1240,0.2000,0.5000,0.2857,0.6996,6249.7055,4126.2566
14,6,0.1061,0.2222,0.3333,0.2667,0.6373,6414.5671,4259.8055
8,6,0.0480,0.0000,0.0000,0.0000,0.4748,6499.2247,4345.0578
13,6,0.0468,0.0444,0.3333,0.0784,0.4860,6550.0931,4312.7610
12,6,0.0587,0.0800,0.3333,0.1290,0.5700,6585.2925,4345.0887
7,6,0.1029,0.1579,0.5000,0.2400,0.6828,6659.2237,4332.1210
6,6,0.1177,0.1875,0.5000,0.2727,0.6954,6634.1961,4373.9074
1,6,0.2065,0.2857,0.6667,0.4000,0.7913,6714.8153,4407.3765
4,6,0.0478,0.0476,0.5000,0.0870,0.4979,6723.8431,4416.3182
9,6,0.2684,0.3125,0.8333,0.4545,0.8704,6764.8892,4422.2371
10,6,0.0451,0.0423,0.5000,0.0779,0.4643,6836.9341,4427.0304
3,6,0.0610,0.0870,0.3333,0.1379,0.5784,6820.4989,4463.6319
11,7,0.2584,0.3636,0.6667,0.4706,0.8039,9404.7196,5573.8131
0,7,0.2065,0.2857,0.6667,0.4000,0.7913,14496.1678,8384.0971
2,7,0.2211,0.3077,0.6667,0.4211,0.7955,14015.8303,7886.6476
5,7,0.1122,0.1765,0.5000,0.2609,0.6912,16562.3179,9286.9270
14,7,0.0585,0.1111,0.1667,0.1333,0.5497,17289.9815,9713.6844
8,7,0.0876,0.1667,0.3333,0.2222,0.6246,17982.0489,9999.8693
1,7,0.0987,0.2000,0.3333,0.2500,0.6331,18747.8740,10756.3155
7,7,0.1490,0.2500,0.5000,0.3333,0.7122,18920.9894,10632.5445
3,7,0.0464,0.0385,0.1667,0.0625,0.4783,19739.6232,11297.9954
6,7,0.0922,0.1364,0.5000,0.2143,0.6702,19580.4249,11207.7323
4,7,0.0494,0.0508,0.5000,0.0923,0.5147,19816.9171,11178.3606
12,7,0.1080,0.1379,0.6667,0.2286,0.7283,19700.7246,11122.3831
13,7,0.0442,0.0250,0.1667,0.0435,0.4195,19666.2690,11175.1328
9,7,0.1080,0.1379,0.6667,0.2286,0.7283,19971.5402,11286.0513
10,7,0.0530,0.0556,0.6667,0.1026,0.5476,19884.5512,11326.1495
11,8,0.1907,0.3333,0.5000,0.4000,0.7248,20591.7170,11139.0243
0,8,0.1827,0.2500,0.6667,0.3636,0.7829,38298.9978,20634.7092
2,8,0.2065,0.2857,0.6667,0.4000,0.7913,35274.8348,18489.0452
5,8,0.0817,0.1154,0.5000,0.1875,0.6534,46451.3366,24868.0531
14,8,0.0764,0.1333,0.3333,0.1905,0.6120,50440.2206,26641.5222
8,8,0.0926,0.1818,0.3333,0.2353,0.6289,56384.3864,29129.8605
1,8,0.1740,0.3000,0.5000,0.3750,0.7206,63858.8670,34068.1355
7,8,0.0865,0.1250,0.5000,0.2000,0.6618,63520.6528,32932.8489
6,8,0.1372,0.1818,0.6667,0.2857,0.7577,68509.9517,36263.3143
4,8,0.0511,0.0526,0.6667,0.0976,0.5308,69370.6553,36660.4644
13,8,0.0451,0.0392,0.3333,0.0702,0.4608,67766.5402,35266.0019
3,8,0.0573,0.0667,0.5000,0.1176,0.5735,72940.9925,38151.8295
10,8,0.0399,0.0238,0.3333,0.0444,0.3221,70074.1177,37000.9236
12,8,0.0491,0.0513,0.3333,0.0889,0.5112,70603.8205,36906.7753
9,8,0.1072,0.1190,0.8333,0.2083,0.7612,78376.2842,37617.5635
11,9,0.1490,0.2500,0.5000,0.3333,0.7122,53285.2568,25887.8164
2,9,0.1240,0.2000,0.5000,0.2857,0.6996,96598.8982,46886.2951
0,5,0.0926,0.1818,0.3333,0.2353,0.6289,2781.7244,2232.9309
1,5,0.1740,0.3000,0.5000,0.3750,0.7206,2900.4239,2277.6439
0,9,0.1493,0.2000,0.6667,0.3077,0.7661,108239.3722,53928.1347
2,5,0.0608,0.1250,0.1667,0.1429,0.5539,2789.1474,2258.7651
3,5,0.0653,0.1000,0.3333,0.1538,0.5910,2941.8909,2329.2015
4,5,0.0478,0.0476,0.5000,0.0870,0.4979,2945.7764,2338.6885
5,5,0.0796,0.1429,0.3333,0.2000,0.6162,2856.9984,2264.5067
6,5,0.0488,0.0526,0.1667,0.0800,0.5077,2908.6791,2298.0387
7,5,0.0833,0.1538,0.3333,0.2105,0.6204,2879.0165,2294.3628
8,5,0.0480,0.0000,0.0000,0.0000,0.4748,2896.0797,2293.2738
9,5,0.2531,0.2941,0.8333,0.4348,0.8662,2890.4133,2290.6987
10,5,0.0432,0.0192,0.1667,0.0345,0.3690,2826.5695,2283.3768
11,5,0.3240,0.6000,0.5000,0.5455,0.7416,2519.7986,2070.4145
12,5,0.0654,0.0741,0.6667,0.1333,0.6232,2948.2197,2320.8575
13,5,0.0439,0.0233,0.1667,0.0408,0.4069,2927.7166,2310.8814
14,5,0.0539,0.0833,0.1667,0.1111,0.5371,2860.7094,2298.2262
0,4,0.0737,0.1250,0.3333,0.1818,0.6078,1667.9903,1508.2183
2,4,0.0480,0.0000,0.0000,0.0000,0.4706,1699.3042,1526.9953
1,4,0.1177,0.1875,0.5000,0.2727,0.6954,1695.0443,1558.2621
4,4,0.0421,0.0125,0.1667,0.0233,0.2514,1711.4345,1587.8252
3,4,0.1122,0.1765,0.5000,0.2609,0.6912,1741.3874,1601.3968
5,4,0.0653,0.1000,0.3333,0.1538,0.5910,1669.9058,1509.9472
6,4,0.0987,0.2000,0.3333,0.2500,0.6331,1689.7624,1521.0274
7,4,0.0511,0.0667,0.1667,0.0952,0.5245,1722.2395,1524.3799
8,4,0.0480,0.0000,0.0000,0.0000,0.4706,1707.5088,1581.7915
9,4,0.1240,0.2000,0.5000,0.2857,0.6996,1732.9090,1596.8653
10,4,0.0446,0.0377,0.3333,0.0678,0.4524,1634.7043,1507.9927
11,4,0.3493,0.5000,0.6667,0.5714,0.8165,1621.4767,1495.0085
12,4,0.0440,0.0400,0.5000,0.0741,0.4475,1677.7436,1522.3258
13,4,0.0612,0.0678,0.6667,0.1231,0.6022,1730.4869,1595.9366
14,4,0.0519,0.0714,0.1667,0.1000,0.5287,1723.8540,1597.4225
14,9,0.0876,0.1667,0.3333,0.2222,0.6246,40730.1769,73644.1020
1,9,0.1177,0.1875,0.5000,0.2727,0.6954,41480.9521,114286.1623
5,9,0.0483,0.0500,0.1667,0.0769,0.5035,134843.5311,63564.8489
6,9,0.2069,0.2069,1.0000,0.3429,0.9034,99113.3883,117455.9557
4,9,0.0447,0.0430,0.6667,0.0808,0.4594,118143.2665,132922.0055
13,9,0.0410,0.0270,0.3333,0.0500,0.3641,131210.5529,124573.6965
3,9,0.0654,0.0741,0.6667,0.1333,0.6232,121295.4097,137422.1697
10,9,0.0419,0.0388,0.6667,0.0734,0.4174,138595.0128,128963.8530
12,9,0.0693,0.0800,0.6667,0.1429,0.6401,145925.7364,132504.4269
2,10,0.1311,0.2143,0.5000,0.3000,0.7038,208415.6106,101705.2790
7,9,0.0740,0.1000,0.5000,0.1667,0.6366,217256.8547,109183.7290
